axis,command_target_x,command_target_y,command_target_z,commanded_elbow_flex,commanded_gripper,commanded_shoulder_lift,commanded_shoulder_pan,commanded_wrist_flex,commanded_wrist_roll,elapsed,elbow_flex,error_norm,error_x,error_y,error_z,execution_mode,gripper,ik_approximate,ik_commanded,ik_converged,ik_error_m,ik_ok,joint_tracking_error_elbow_flex,joint_tracking_error_gripper,joint_tracking_error_shoulder_lift,joint_tracking_error_shoulder_pan,joint_tracking_error_wrist_flex,joint_tracking_error_wrist_roll,kinematics_message,measured_x,measured_y,measured_z,offset_x,offset_y,offset_z,pattern,planned_elbow_flex,planned_elbow_flex_limit_margin_rad,planned_shoulder_lift,planned_shoulder_lift_limit_margin_rad,planned_wrist_flex,planned_wrist_flex_limit_margin_rad,ramp_scale,servo_elbow_flex_current_ma,servo_elbow_flex_load_raw,servo_elbow_flex_moving,servo_elbow_flex_temperature_c,servo_elbow_flex_velocity_raw,servo_elbow_flex_voltage_v,servo_gripper_current_ma,servo_gripper_load_raw,servo_gripper_moving,servo_gripper_temperature_c,servo_gripper_velocity_raw,servo_gripper_voltage_v,servo_max_abs_load_raw,servo_max_current_ma,servo_max_temperature_c,servo_min_voltage_v,servo_shoulder_lift_current_ma,servo_shoulder_lift_load_raw,servo_shoulder_lift_moving,servo_shoulder_lift_temperature_c,servo_shoulder_lift_velocity_raw,servo_shoulder_lift_voltage_v,servo_shoulder_pan_current_ma,servo_shoulder_pan_load_raw,servo_shoulder_pan_moving,servo_shoulder_pan_temperature_c,servo_shoulder_pan_velocity_raw,servo_shoulder_pan_voltage_v,servo_wrist_flex_current_ma,servo_wrist_flex_load_raw,servo_wrist_flex_moving,servo_wrist_flex_temperature_c,servo_wrist_flex_velocity_raw,servo_wrist_flex_voltage_v,servo_wrist_roll_current_ma,servo_wrist_roll_load_raw,servo_wrist_roll_moving,servo_wrist_roll_temperature_c,servo_wrist_roll_velocity_raw,servo_wrist_roll_voltage_v,shoulder_lift,shoulder_pan,t,target_x,target_y,target_z,wrist_flex,wrist_roll,x_feedforward_bias,y_feedforward_bias,z_feedforward_bias
z,0.38,0.0,0.1683,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,2.384185791015625e-07,0.19179442329608015,0.0016414995345125684,0.0013559487037687612,0.000504328341930041,-0.0007756137944098795,joint_trajectory,0.4992343032159265,False,True,True,1.1589327475437108e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,2.9878106191621178e-30,0.0,5.329070412321514e-17,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,2.6645352061608165e-15,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,52.0,35.0,11.8,52.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444504.9838734,0.38,0.0,0.16000000000000006,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
z,0.380000000000881,0.0,0.16830002892143686,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,0.0058138370513916016,0.19179442329608015,0.0016415144991793011,0.001355948702712162,0.000504328341930041,-0.0007756454667921242,joint_trajectory,0.4992343032159265,False,True,True,1.1585338754357893e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,1.05659864781701e-12,0.0,3.16723823099359e-08,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,1.5836402474697513e-06,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,65.0,35.0,11.8,65.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444504.9896894,0.3800000000010566,0.0,0.1600000316723823,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
z,0.3800000000140894,0.0,0.16830011562793765,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,0.011275291442871094,0.19179442329608015,0.0016415557857595803,0.0013559486888282124,0.000504328341930041,-0.0007757328628799354,joint_trajectory,0.4992343032159265,False,True,True,1.1573811802898723e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,1.494055061163505e-11,0.0,1.1906847009896361e-07,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,5.953722315960413e-06,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,65.0,35.0,11.8,65.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444504.995153,0.38000000001494055,0.0,0.16000011906847011,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
z,0.3800000000712929,0.0,0.16830026002645967,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,0.01688385009765625,0.19179442329608015,0.001641625572959682,0.0013559486286879308,0.000504328341930041,-0.0007758806362325454,joint_trajectory,0.4992343032159265,False,True,True,1.1556054790961835e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,7.508085393227944e-11,0.0,2.6684182273210055e-07,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,1.3343592753683672e-05,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,65.0,35.0,11.8,65.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444505.000768,0.38000000007508083,0.0,0.16000026684182272,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
z,0.38000000022521,0.0,0.16830046201554014,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,0.0224459171295166,0.19179442329608015,0.0016417221093809606,0.0013559484693574375,0.000504328341930041,-0.0007760851476504294,joint_trajectory,0.4992343032159265,False,True,True,1.1534247818059605e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,2.3441129981000827e-10,0.0,4.713532405976283e-07,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,2.3572350255877613e-05,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,65.0,35.0,11.8,65.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444505.0063286,0.38000000023441133,0.0,0.1600004713532406,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
z,0.3800000005495541,0.0,0.1683007214853181,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,0.027991533279418945,0.19179442329608015,0.001641845356642982,0.001355948137113705,0.000504328341930041,-0.0007763464098674566,joint_trajectory,0.4992343032159265,False,True,True,1.1511452907640755e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,5.666550512294138e-10,0.0,7.326154576435443e-07,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,3.664210598320181e-05,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,65.0,35.0,11.8,65.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444505.0118713,0.38000000056665506,0.0,0.16000073261545764,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
z,0.3800000011389757,0.0,0.16830103831755788,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,0.033539533615112305,0.19179442329608015,0.0016419955175384748,0.0013559475363698614,0.000504328341930041,-0.0007766649739463227,joint_trajectory,0.4992343032159265,False,True,True,1.1491621648355883e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,1.1673988818690035e-09,0.0,1.051179536501814e-06,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,5.2582324802728074e-05,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,65.0,35.0,11.8,65.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444505.0174167,0.3800000011673989,0.0,0.1600010511795365,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
z,0.3800000021090021,0.0,0.168301412385673,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,0.03897976875305176,0.19179442329608015,0.0016421687255121003,0.0013559465750014321,0.000504328341930041,-0.0007770327742881999,joint_trajectory,0.4992343032159265,False,True,True,1.1479592218866042e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,2.1287673276592366e-09,0.0,1.418979878365522e-06,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,7.099156926482928e-05,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,65.0,35.0,11.8,65.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444505.022856,0.38000000212876733,0.0,0.16000141897987838,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
z,0.38000000359597425,0.0,0.1683018435547516,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,0.04464912414550781,0.19179442329608015,0.0016423764350527313,0.0013559450411649299,0.000504328341930041,-0.0007774743232305814,joint_trajectory,0.4992343032159265,False,True,True,1.1481065025659152e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,3.6626038091150764e-09,0.0,1.8605288207555366e-06,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,9.309969311395913e-05,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,65.0,35.0,11.8,65.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444505.0285249,0.38000000366260384,0.0,0.16000186052882076,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
z,0.3800000057569813,0.0,0.16830233168158248,0.1895089001848971,0.5,-0.03436335064532325,0.0,0.08822758493371408,0.0,0.05015230178833008,0.19179442329608015,0.0016426044534837959,0.0013559428764084447,0.000504328341930041,-0.0007779596583680215,joint_trajectory,0.4992343032159265,False,True,True,1.1502544252833425e-05,True,0.0022855231111830465,-0.0007656967840735107,0.02822592909984868,-0.0015343553863686413,-0.002303683297070161,0.0015343553863686413,waiting for joint_states,0.38135594870376877,0.000504328341930041,0.15922438620559018,5.827360327796495e-09,0.0,2.3458639581885993e-06,xz_vertex_diamond,0.17489471155216402,0.725105288447836,-0.032191956694930066,0.56780804330507,0.11140228368530924,0.48859771631469073,0.00011740974511598588,6.5,24,False,33,0,11.8,0.0,0,False,35,0,11.8,160.0,65.0,35.0,11.8,65.0,160,False,35,0,11.8,0.0,0,False,33,0,11.9,0.0,0,False,34,0,11.9,0.0,0,False,33,0,12.0,-0.006137421545474565,-0.0015343553863686413,1788444505.034028,0.3800000058273603,0.0,0.1600023458639582,0.08592390163664392,0.0015343553863686413,0.0,0.0,0.008300000000000002
